date,Student loan,Loan,Interest,Mortgage,isPartial
2014-04-01,0,2,1,1,False
2014-05-01,0,2,1,0,False
2014-06-01,0,2,0,1,False
2014-07-01,0,2,1,0,False
2014-08-01,0,2,0,0,False
2014-09-01,0,2,1,1,False
2014-10-01,0,2,1,0,False
2014-11-01,0,2,0,0,False
2014-12-01,0,2,0,1,False
2015-01-01,0,2,1,0,False
2015-02-01,0,2,0,0,False
2015-03-01,0,2,0,0,False
2015-04-01,0,2,1,0,False
2015-05-01,0,2,0,0,False
2015-06-01,0,2,0,0,False
2015-07-01,0,2,1,1,False
2015-08-01,0,2,0,0,False
2015-09-01,0,3,0,0,False
2015-10-01,0,3,1,1,False
2015-11-01,0,4,1,0,False
2015-12-01,0,4,1,0,False
2016-01-01,0,3,1,1,False
2016-02-01,0,2,0,0,False
2016-03-01,0,2,0,0,False
2016-04-01,0,2,0,0,False
2016-05-01,0,1,0,0,False
2016-06-01,0,2,0,0,False
2016-07-01,0,2,0,0,False
2016-08-01,0,2,0,0,False
2016-09-01,0,2,0,0,False
2016-10-01,0,1,0,0,False
2016-11-01,0,2,0,0,False
2016-12-01,0,2,0,0,False
2017-01-01,0,2,0,0,False
2017-02-01,0,2,0,0,False
2017-03-01,0,2,1,0,False
2017-04-01,0,2,1,1,False
2017-05-01,0,2,0,0,False
2017-06-01,0,2,0,0,False
2017-07-01,0,2,0,0,False
2017-08-01,0,2,0,0,False
2017-09-01,0,2,0,0,False
2017-10-01,0,2,1,0,False
2017-11-01,0,2,1,0,False
2017-12-01,0,1,0,0,False
2018-01-01,0,2,0,0,False
2018-02-01,0,2,0,0,False
2018-03-01,0,2,0,0,False
2018-04-01,1,2,0,0,False
2018-05-01,0,2,1,0,False
2018-06-01,0,2,0,0,False
2018-07-01,0,3,0,1,False
2018-08-01,0,7,1,3,False
2018-09-01,0,8,2,4,False
2018-10-01,1,8,1,4,False
2018-11-01,1,10,2,5,False
2018-12-01,1,11,2,7,False
2019-01-01,1,10,2,5,False
2019-02-01,1,18,3,8,False
2019-03-01,1,18,4,9,False
2019-04-01,1,12,2,7,False
2019-05-01,2,22,4,12,False
2019-06-01,1,16,4,10,False
2019-07-01,2,20,4,13,False
2019-08-01,1,18,4,11,False
2019-09-01,1,15,3,9,False
2019-10-01,1,13,3,9,False
2019-11-01,1,13,3,8,False
2019-12-01,1,16,3,9,False
2020-01-01,1,16,3,8,False
2020-02-01,1,14,3,8,False
2020-03-01,1,14,3,8,False
2020-04-01,1,12,3,7,False
2020-05-01,1,11,3,7,False
2020-06-01,1,14,3,9,False
2020-07-01,1,14,3,9,False
2020-08-01,1,15,4,10,False
2020-09-01,1,16,4,10,False
2020-10-01,1,13,3,7,False
2020-11-01,1,11,2,6,False
2020-12-01,1,10,2,5,False
2021-01-01,1,10,2,4,False
2021-02-01,0,6,2,3,False
2021-03-01,1,10,2,6,False
2021-04-01,1,11,3,7,False
2021-05-01,1,10,3,7,False
2021-06-01,1,13,3,8,False
2021-07-01,1,12,3,8,False
2021-08-01,1,12,3,9,False
2021-09-01,1,17,4,12,False
2021-10-01,0,9,2,7,False
2021-11-01,1,13,3,8,False
2021-12-01,0,8,2,6,False
2022-01-01,1,7,2,4,False
2022-02-01,0,5,2,3,False
2022-03-01,0,5,2,3,False
2022-04-01,0,5,1,2,False
2022-05-01,0,4,1,2,False
2022-06-01,0,4,1,2,False
2022-07-01,0,5,1,2,False
2022-08-01,0,4,1,2,False
2022-09-01,0,3,1,1,False
2022-10-01,0,3,1,1,False
2022-11-01,0,3,1,1,False
2022-12-01,0,3,1,1,False
2023-01-01,0,3,1,1,True
